uniqueid,suffix,name,address,city,state,partner
1732,A,"Communidad 16 de Septiembre, 1965",,Bakersfield,CA,"National Farm Workers Service Center, Inc."
1733,A,"Communidad Housing Development, L.P.","1002 Washington Street, Bldg 1 of 22",Bakersfield,CA,"National Farm Workers Service Center, Inc."
1734,A,Communidad Phase II,"SW Corner, California Ave and Washington St",Bakersfield,CA,"National Farm Workers Service Center, Inc."
1735,A,Communidad Phase III,"NW Corner, Washington St and Potomac Ave",Bakersfield,CA,"National Farm Workers Service Center, Inc."
1736,A,"Greenfield Housing, L.P.",411 Boomerang Dr,Bakersfield,CA,"Golden Empire Affordable Housing, Inc."
1737,A,Pioneer Village,600 Fairfax Road,Bakersfield,CA,LINC Housing Corporation
1738,A,Pioneer Village Estates Apartments,600 Fairfax Road,Bakersfield,CA,LINC Housing Corporation
1739,A,,,Baltimore,MD,Sandtown Habitat for Humanity
1740,A,,,Baltimore,MD,Sandtown Habitat for Humanity
1741,A,,,Baltimore,MD,Sandtown Habitat for Humanity
1742,A,,,Baltimore,MD,Sandtown Habitat for Humanity
1743,A,,,Baltimore,MD,"Baltimore Housing Developers, Inc."
1744,A,,,Baltimore,MD,Baltimore Housing Ministry
1745,A,,,Baltimore,MD,Druid Heights Community Development Corp.
1746,A,,,Baltimore,MD,"Govans Economic Management Senate, Inc."
1747,A,,,Baltimore,MD,Tri Churches Housing
1748,A,,,Baltimore,MD,Tri Churches Housing
1749,A,,,Baltimore,MD,"St. Pius V Housing Committee, Inc."
1750,A,,,Baltimore,MD,Sandtown Winchester Community Dev. Corporation
1751,A,,,Baltimore,MD,Tri Churches Housing
1752,A,,,Baltimore,MD,East Baltimore Midway Community
1753,A,,,Baltimore,MD,"Harford County Housing, Inc."
1754,A,,,Baltimore,MD,Baltimore Corporation for Housing Partnerships
1755,A,,,Baltimore,MD,Jubilee Baltimore
1756,A,,,Baltimore,MD,Jubilee Baltimore
1757,A,,,Baltimore,MD,"ReVisions, Inc."
1758,A,,,Baltimore,MD,Sandtown Winchester CDC/Savannah Joint Venture
1759,A,,,Baltimore,MD,Jubilee Baltimore
1760,A,,,Baltimore,MD,Jubilee Baltimore
1761,A,,,Baltimore,MD,Peoples Homesteading Group
1762,A,,,Baltimore,MD,Baltimore Corporation for Housing Partnerships
1763,A,,,Baltimore,MD,"Housing Unlimited Group, Inc."
1764,A,,,Baltimore,MD,Baltimore Corporation for Housing Partnerships
1765,A,,,Baltimore,MD,Harford House Partnership
